short,density_index,intensity_index,log10_I_grid_wcm2,log10_ne_grid_cm3,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,0,31,13.16326530612245,10.0,20.623485950093666
ZnSe_NIR,0,32,13.26530612244898,10.0,20.84732513924996
ZnSe_NIR,0,33,13.36734693877551,10.0,20.70809637396196
ZnSe_NIR,0,34,13.46938775510204,10.0,20.994174420323013
ZnSe_NIR,0,35,13.571428571428571,10.0,21.27308207010296
ZnSe_NIR,0,36,13.673469387755102,10.0,21.425776795975747
ZnSe_NIR,0,37,13.775510204081632,10.0,21.517981913985956
ZnSe_NIR,0,38,13.877551020408163,10.0,21.781087110099563
ZnSe_NIR,0,39,13.979591836734695,10.0,21.83403334114827
ZnSe_NIR,0,40,14.081632653061224,10.0,22.07991583614232
ZnSe_NIR,0,41,14.183673469387756,10.0,22.190711518577015
ZnSe_NIR,0,42,14.285714285714285,10.0,22.30091601271979
ZnSe_NIR,0,43,14.387755102040817,10.0,22.432373667548262
ZnSe_NIR,0,44,14.489795918367347,10.0,22.578748241610146
ZnSe_NIR,0,45,14.591836734693878,10.0,22.73587942826645
ZnSe_NIR,0,46,14.693877551020408,10.0,22.901870129059404
ZnSe_NIR,0,47,14.795918367346939,10.0,23.071521770020645
ZnSe_NIR,0,48,14.89795918367347,10.0,23.17862398910172
ZnSe_NIR,0,49,15.0,10.0,23.30286950684805
ZnSe_NIR,1,0,10.0,10.151898734177216,14.715707091893954
ZnSe_NIR,1,1,10.10204081632653,10.151898734177216,14.91980838616473
ZnSe_NIR,1,2,10.204081632653061,10.151898734177216,15.12391461706886
ZnSe_NIR,1,3,10.306122448979592,10.151898734177216,15.3280269293261
ZnSe_NIR,1,4,10.408163265306122,10.151898734177216,15.53214667288501
ZnSe_NIR,1,5,10.510204081632653,10.151898734177216,15.736277352488575
ZnSe_NIR,1,6,10.612244897959183,10.151898734177216,15.940417934298733
ZnSe_NIR,1,7,10.714285714285714,10.151898734177216,16.144571656762302
ZnSe_NIR,1,8,10.816326530612244,10.151898734177216,16.348740501085963
ZnSe_NIR,1,9,10.918367346938776,10.151898734177216,16.552926056924207
ZnSe_NIR,1,10,11.020408163265307,10.151898734177216,16.757128850819985
ZnSe_NIR,1,11,11.122448979591837,10.151898734177216,16.961347136187783
ZnSe_NIR,1,12,11.224489795918368,10.151898734177216,17.165574763325324
ZnSe_NIR,1,13,11.326530612244898,10.151898734177216,17.369797476808007
ZnSe_NIR,1,14,11.428571428571429,10.151898734177216,17.573986508865495
ZnSe_NIR,1,15,11.53061224489796,10.151898734177216,17.778087468246685
ZnSe_NIR,1,16,11.63265306122449,10.151898734177216,17.98200088660469
ZnSe_NIR,1,17,11.73469387755102,10.151898734177216,18.185547543730916
ZnSe_NIR,1,18,11.83673469387755,10.151898734177216,18.388404854569803
ZnSe_NIR,1,19,11.938775510204081,10.151898734177216,18.590055462423244
ZnSe_NIR,1,20,12.040816326530612,10.151898734177216,18.789318891590927
ZnSe_NIR,1,21,12.142857142857142,10.151898734177216,18.984074959943335
ZnSe_NIR,1,22,12.244897959183675,10.151898734177216,19.169620416295725
ZnSe_NIR,1,23,12.346938775510203,10.151898734177216,19.33376017315848
ZnSe_NIR,1,24,12.448979591836736,10.151898734177216,19.425727241497995
ZnSe_NIR,1,25,12.551020408163264,10.151898734177216,18.947992622772727
ZnSe_NIR,1,26,12.653061224489797,10.151898734177216,19.23629031082471
ZnSe_NIR,1,27,12.755102040816327,10.151898734177216,19.521414049354085
ZnSe_NIR,1,28,12.857142857142858,10.151898734177216,19.80382693138453
ZnSe_NIR,1,29,12.959183673469388,10.151898734177216,20.08313699605162
ZnSe_NIR,1,30,13.061224489795919,10.151898734177216,20.358259678044192
ZnSe_NIR,1,31,13.16326530612245,10.151898734177216,20.623485950093666
ZnSe_NIR,1,32,13.26530612244898,10.151898734177216,20.84732513924996
ZnSe_NIR,1,33,13.36734693877551,10.151898734177216,20.70809637396196
ZnSe_NIR,1,34,13.46938775510204,10.151898734177216,20.994174420323013
ZnSe_NIR,1,35,13.571428571428571,10.151898734177216,21.27308207010296
ZnSe_NIR,1,36,13.673469387755102,10.151898734177216,21.425776795975747
ZnSe_NIR,1,37,13.775510204081632,10.151898734177216,21.517981913985956
ZnSe_NIR,1,38,13.877551020408163,10.151898734177216,21.781087110099563
ZnSe_NIR,1,39,13.979591836734695,10.151898734177216,21.83403334114827
ZnSe_NIR,1,40,14.081632653061224,10.151898734177216,22.07991583614232
ZnSe_NIR,1,41,14.183673469387756,10.151898734177216,22.190711518577015
ZnSe_NIR,1,42,14.285714285714285,10.151898734177216,22.30091601271979
